state,year,month,api
Kuala Lumpur,2018,2,24.92333333
Kuala Lumpur,2018,3,25.81061693
Kuala Lumpur,2018,4,28.48686244
Kuala Lumpur,2018,5,30.28137931
Kuala Lumpur,2018,6,31.13411079
Kuala Lumpur,2018,7,34.3655914
Kuala Lumpur,2018,8,49.05241935
Kuala Lumpur,2018,9,61.66944444
Kuala Lumpur,2018,10,62.92876344
Kuala Lumpur,2018,11,55.3375
Kuala Lumpur,2018,12,51.99731183
Kuala Lumpur,2019,1,50.28629032
Kuala Lumpur,2019,2,56.2797619
Kuala Lumpur,2019,3,64.75672043
Kuala Lumpur,2019,4,61.75972222
Kuala Lumpur,2019,5,55.87768817
Kuala Lumpur,2019,6,59.18611111
Kuala Lumpur,2019,7,65.31317204
Kuala Lumpur,2019,8,73.61290323
Kuala Lumpur,2019,9,110.4833333
Kuala Lumpur,2019,10,60.49022346
Kuala Lumpur,2019,11,56.78055556
Kuala Lumpur,2019,12,50.21505376
Kuala Lumpur,2020,1,54.32795699
Kuala Lumpur,2020,2,53.18247126
Kuala Lumpur,2020,3,57.28897849
Kuala Lumpur,2020,4,51.075
Kuala Lumpur,2020,5,57.02016129
Kuala Lumpur,2020,6,61.60500695
Kuala Lumpur,2020,7,57.15053763
Kuala Lumpur,2020,8,60.05645161
Kuala Lumpur,2020,9,52.73216885
Kuala Lumpur,2020,10,54.97849462
Kuala Lumpur,2020,11,51.05416667
Kuala Lumpur,2020,12,53.15860215
Kuala Lumpur,2021,1,49.98790323
Kuala Lumpur,2021,2,56.5327381
Kuala Lumpur,2021,3,58.32123656
Kuala Lumpur,2021,4,57.26805556
Kuala Lumpur,2021,5,57.83198925
Kuala Lumpur,2021,6,52.72492837
Kuala Lumpur,2021,7,54.71908602
Kuala Lumpur,2021,8,50.58736559
Kuala Lumpur,2021,9,55.16388889
Kuala Lumpur,2021,10,55.76478495
Kuala Lumpur,2021,11,53.95111732
Kuala Lumpur,2021,12,55.66801075
Kuala Lumpur,2022,1,59.35800808
Kuala Lumpur,2022,2,52.06110283
Kuala Lumpur,2022,3,55.03168044
Kuala Lumpur,2022,4,58.13611111
Kuala Lumpur,2022,5,54.69230769
Johor,2017,1,
Johor,2017,2,
Johor,2017,3,
Johor,2017,4,23.41907514
Johor,2017,5,22.17307692
Johor,2017,6,25.089141
Johor,2017,7,25.16965517
Johor,2017,8,24.0744249
Johor,2017,9,23.17638889
Johor,2017,10,26.1875
Johor,2017,11,21.41364296
Johor,2017,12,21.95816464
Johor,2018,1,17.74079529
Johor,2018,2,25.87707641
Johor,2018,3,22.82176871
Johor,2018,4,24.05674847
Johor,2018,5,24.45631068
Johor,2018,6,24.97083333
Johor,2018,7,27.43010753
Johor,2018,8,46.56586022
Johor,2018,9,57.55833333
Johor,2018,10,51.85596708
Johor,2018,11,41.16901408
Johor,2018,12,38.43817204
Johor,2019,1,45.73252688
Johor,2019,2,50.29613095
Johor,2019,3,62.81989247
Johor,2019,4,54.35138889
Johor,2019,5,56.69892473
Johor,2019,6,49.26388889
Johor,2019,7,60.19489247
Johor,2019,8,70.30913978
Johor,2019,9,86.75
Johor,2019,10,55.08602151
Johor,2019,11,48.21111111
Johor,2019,12,30.99462366
Johor,2020,1,37.10752688
Johor,2020,2,36.12212644
Johor,2020,3,45.82258065
Johor,2020,4,39.24444444
Johor,2020,5,40.65725806
Johor,2020,6,41.27955494
Johor,2020,7,39.79973118
Johor,2020,8,49.93817204
Johor,2020,9,40.75545852
Johor,2020,10,45.73387097
Johor,2020,11,36.59861111
Johor,2020,12,40.23521505
